,SECT,,,SECT_EQNTR,,,SECT_LOSHO,,
,"HedgeIndex Composite Index",,,"HedgeIndex Equity Market Neutral Composite Index",,,"HedgeIndex Long/Short Equity Composite Index",,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
2025-08-31,USD,186.31,2.38%,USD,126.39,1.31%,USD,240.51,2.8%
2025-07-31,USD,181.98,0.46%,USD,124.75,-0.9%,USD,233.97,1.12%
2025-06-30,USD,181.14,2.19%,USD,125.88,1.11%,USD,231.39,4.28%
2025-05-31,USD,177.26,1.45%,USD,124.5,1.52%,USD,221.89,4.11%
2025-04-30,USD,174.72,-0.81%,USD,122.63,1.46%,USD,213.14,0.85%
2025-03-31,USD,176.14,-0.67%,USD,120.87,2.31%,USD,211.34,-3.18%
2025-02-28,USD,177.33,-0.03%,USD,118.14,1.1%,USD,218.28,-1.06%
2025-01-31,USD,177.38,2.66%,USD,116.86,1.03%,USD,220.62,2.04%
2024-12-31,USD,172.79,0.13%,USD,115.67,0.4%,USD,216.21,-1.09%
2024-11-30,USD,172.56,1.35%,USD,115.21,0.03%,USD,218.6,0.9%
2024-10-31,USD,170.26,-1.54%,USD,115.17,-0.42%,USD,216.64,-1.34%
2024-09-30,USD,172.92,2%,USD,115.66,0.59%,USD,219.58,2.74%
2024-08-31,USD,169.53,-1.13%,USD,114.98,1.96%,USD,213.72,-0.2%
2024-07-31,USD,171.46,-0.1%,USD,112.77,0.67%,USD,214.15,-0.29%
2024-06-30,USD,171.63,-0.19%,USD,112.02,0.89%,USD,214.77,0.69%
2024-05-31,USD,171.95,0.36%,USD,111.03,0.85%,USD,213.29,2.62%
2024-04-30,USD,171.33,0.08%,USD,110.09,0.58%,USD,207.84,-1.34%
2024-03-31,USD,171.19,2.77%,USD,109.46,0.81%,USD,210.67,2.36%
2024-02-29,USD,166.58,2.95%,USD,108.58,0.36%,USD,205.82,3.1%
2024-01-31,USD,161.81,1.44%,USD,108.19,0.44%,USD,199.63,1.16%
2023-12-31,USD,159.52,0.42%,USD,107.72,0.59%,USD,197.34,2.01%
2023-11-30,USD,158.85,1.28%,USD,107.09,1.88%,USD,193.45,4.35%
2023-10-31,USD,156.85,-0.72%,USD,105.11,0.55%,USD,185.39,-1.61%
2023-09-30,USD,157.98,0.56%,USD,104.54,0.65%,USD,188.43,-1.51%
2023-08-31,USD,157.1,0.36%,USD,103.86,0.39%,USD,191.32,-1.85%
2023-07-31,USD,156.54,1.66%,USD,103.46,-0.43%,USD,194.92,1.82%
2023-06-30,USD,153.99,1.58%,USD,103.91,1.57%,USD,191.43,1.27%
